1900-01-01 04:00:00
0 11 12.6043840897
1 11 4.15575229686
0 24 17.2324609132
1 24 9.62559919202
0 46 18.7055611786
1 46 8.67912861728
0 65 5.83412035088
1 65 6.73076164626
0 71 2.64783138779
1 71 7.22149531545
0 96 15.9409701722
1 96 7.78970499741
0 126 3.20165912526
1 126 8.98869617569
0 148 5.09239025409
1 148 17.1875783652
0 183 8.70275733949
1 183 3.51586887481
0 211 9.56910874485
1 211 7.74386297568
0 243 13.2501178399
1 243 9.05821881163
0 271 17.3716235555
1 271 6.246872666
0 300 12.1500895477
1 300 10.1657050258
0 319 0
1 319 11.1077193541
0 338 20.1196893302
1 338 24.0285191648
0 360 0
1 360 7.7430873489
0 363 0
1 363 22.1746946061
0 380 22.3107583445
1 380 9.36883966656
0 397 0
1 397 22.7836135214
0 412 20.808356105
1 412 22.7582356744
0 428 9.73201937224
1 428 23.8649101198
0 448 3.84830114555
1 448 7.88433159677
0 467 4.64072873671
1 467 7.30027529516
0 476 14.6967017967
1 476 5.20665366933
0 497 7.92314641627
1 497 18.8542034743
0 506 22.8797634103
1 506 4.18028267312
0 521 8.81798670046
1 521 8.51335461937
0 538 0
1 538 7.63346853077
0 557 8.72820153453
1 557 5.53878727059
0 574 7.03564005075
1 574 23.2232003202
0 602 0
1 602 5.67851953911
0 611 24.3516813473
1 611 5.05251895606
0 626 5.92352632573
1 626 9.65276158001
0 636 3.47175753653
1 636 8.82852262969
0 653 8.76486189702
1 653 4.82631067008
0 663 7.72529190763
1 663 12.5453618071
0 673 4.9959514016
1 673 9.6992196119
0 684 5.1653137757
1 684 6.79598672198
0 703 4.31045742461
1 703 5.66299698703
0 706 11.8052094423
1 706 0
0 708 0
1 708 12.3338214366
0 718 0
1 718 6.53984436285
0 726 8.98984666097
1 726 4.15439823019
0 734 2.02518820852
1 734 1.72718666171
0 749 5.85358787789
1 749 2.7424144331
0 756 3.45277042283
1 756 4.94093432342
0 777 12.4959255688
1 777 2.06611477082
0 781 5.69427958634
1 781 4.14429061963
0 802 0
1 802 5.83912909944
0 807 3.03495472022
1 807 6.69283053353
0 810 17.2977547806
1 810 7.60608107125
0 824 10.5204299146
1 824 7.95864713179
0 832 1.43226446657
1 832 14.1263913122
0 854 4.12104008041
1 854 6.97071317598
0 859 3.29569738416
1 859 7.94693965551
0 869 3.50859925141
1 869 2.56641692374
0 884 2.85578261402
1 884 7.09760240343
0 891 3.69557129686
1 891 8.37575523949
0 908 13.3924833959
1 908 3.29426535317
0 909 2.84961124859
1 909 0
0 911 0
1 911 0
0 930 17.4181478612
1 930 12.9972614147
0 936 6.31943383059
1 936 7.02491568068
0 953 3.87603864308
1 953 2.26808109369
0 954 9.95433065993
1 954 0
0 956 0
1 956 0
0 957 0
1 957 8.41877065236
0 963 0
1 963 0
0 981 7.02647630551
1 981 14.814685066
0 990 5.32969009037
1 990 9.1969438365
0 1001 4.48560128303
1 1001 2.69406117213
0 1005 10.6846788664
1 1005 5.6283681583
0 1014 13.35065338
1 1014 6.16397145176
0 1030 15.1293312425
1 1030 5.65625800154

