1900-01-01 04:00:00
0 17 12.790439139
1 17 0
0 46 8.41312578782
1 46 6.2269624371
0 59 8.23431708707
1 59 7.24034432858
0 72 7.09255714283
1 72 13.2358115951
0 94 9.96307854574
1 94 3.48757304175
0 120 6.50836467102
1 120 10.5061915995
0 179 22.2002498596
1 179 12.0399135706
0 209 0
1 209 23.6801005753
0 241 7.58725624619
1 241 23.2875505787
0 260 15.2833918608
1 260 26.5693909288
0 278 8.9065955458
1 278 5.54732576823
0 292 18.7645777485
1 292 3.77487547363
0 305 9.33964604552
1 305 5.7780522053
0 330 9.26098839707
1 330 10.6747473179
0 361 0
1 361 0
0 370 11.0017543246
1 370 5.63714188441
0 378 18.556950998
1 378 22.5331163313
0 398 5.61776724722
1 398 8.73476667721
0 400 0
1 400 9.29564482782
0 409 9.36843481571
1 409 22.6253328285
0 413 9.02310144176
1 413 17.6948291693
0 422 5.07515789858
1 422 18.3017784726
0 425 9.09162436963
1 425 23.5482095431
0 435 2.73240456169
1 435 11.6918769538
0 438 11.3639417481
1 438 9.13297042234
0 443 3.87144598489
1 443 5.43505731614
0 458 3.57278908689
1 458 7.88682729825
0 467 4.48499285439
1 467 7.79890542683
0 494 5.4439111691
1 494 21.7361188734
0 506 7.19704962834
1 506 3.21587172594
0 530 17.1754929709
1 530 1.88993590503
0 575 9.49811054391
1 575 4.43085847895
0 576 0
1 576 0
0 580 0
1 580 0
0 584 0
1 584 4.68878824319
0 590 13.0367945703
1 590 8.58902291312
0 600 8.18947877083
1 600 9.00487907739
0 620 12.6989675281
1 620 4.88670192274
0 629 4.96229634896
1 629 2.94540107503
0 641 0
1 641 8.69607135143
0 647 5.31094922996
1 647 10.6469886629
0 671 8.86995401585
1 671 2.27678290689
0 676 2.03588283543
1 676 5.06964336337
0 679 15.9496340708
1 679 9.02713233553
0 692 12.3928398872
1 692 1.79925634902

