1900-01-01 04:00:00
0 5 0
1 5 6.69381351871
0 27 6.48140637694
1 27 5.85959980271
0 40 12.1406761214
1 40 1.90261550268
0 41 10.2803336491
1 41 0
0 42 0
1 42 0
0 64 0
1 64 0
0 79 11.7217068195
1 79 1.78908506387
0 92 5.68515706844
1 92 11.8513634697
0 126 12.3764322065
1 126 5.98071002187
0 150 13.2908796564
1 150 7.7573367637
0 189 0
1 189 11.1154018725
0 208 12.5972261836
1 208 9.94121616219
0 240 13.2730270955
1 240 21.3788191433
0 274 17.9130587469
1 274 22.808400807
0 278 9.98154118524
1 278 7.3706307043
0 296 10.4922391038
1 296 5.52882903622
0 319 0
1 319 12.3767281861
0 327 5.15097079473
1 327 16.5985414647
0 351 0
1 351 12.8206246044
0 359 13.83597228
1 359 7.85988538224
0 371 0
1 371 11.0864641822
0 381 0
1 381 10.4668961269
0 402 16.4196336019
1 402 21.6497703853
0 412 16.0474621591
1 412 3.81493143832
0 413 8.47851382269
1 413 0
0 416 0
1 416 0
0 431 16.2359850927
1 431 3.56657971254
0 435 12.630089917
1 435 5.60123397865
0 438 6.89552314206
1 438 22.6630074757
0 446 2.65765559301
1 446 4.35870841758
0 458 8.79193212054
1 458 6.01422544823
0 472 10.2879303069
1 472 3.04782285467
0 486 4.09332985816
1 486 4.87504515041
0 488 7.10188620164
1 488 0
0 503 0
1 503 0
0 504 0
1 504 0
0 506 0
1 506 7.39261167075
0 533 0
1 533 6.34552753053
0 543 4.19444097437
1 543 4.43093816256
0 569 7.47999760864
1 569 3.87810486856
0 578 14.2860255128
1 578 6.2050916101
0 580 6.18623893109
1 580 15.6651219864
0 595 3.25432960371
1 595 5.54106937306
0 603 4.08033817364
1 603 7.87065904227
0 619 5.65385530134
1 619 6.61371782661
0 635 5.97694336687
1 635 6.55822623395
0 637 8.07369706307
1 637 0
0 638 11.5873733028
1 638 0
0 641 0
1 641 0
0 643 0
1 643 15.3115788334
0 669 0
1 669 2.31903533299
0 671 14.1091651597
1 671 0
0 673 0
1 673 0
0 686 7.76631080888
1 686 0

